Date,Name,Year,Letterboxd URI
2013-09-06,Raiders of the Lost Ark,1981,https://boxd.it/2bbs
2013-09-06,Aliens,1986,https://boxd.it/29PA
2013-09-06,Prometheus,2012,https://boxd.it/2s9e
2013-09-06,Alien,1979,https://boxd.it/2awY
2013-09-06,Rear Window,1954,https://boxd.it/2a6Q
2013-09-06,Vertigo,1958,https://boxd.it/2apI
2013-09-06,Jaws,1975,https://boxd.it/2a5e
2014-01-15,American Hustle,2013,https://boxd.it/5dz8
2014-01-15,Gravity,2013,https://boxd.it/GZY
2014-01-15,Tangled,2010,https://boxd.it/15gO
2014-01-15,Frozen,2013,https://boxd.it/3GNa
2014-01-15,Space Battleship Yamato 2199,2012,https://boxd.it/3VWG
2022-02-28,Deadpool,2016,https://boxd.it/9fOC
2022-02-28,Deadpool 2,2018,https://boxd.it/dlLM
2022-02-28,Dune,2021,https://boxd.it/fA7G
2022-02-28,Interstellar,2014,https://boxd.it/4VZ8
2022-02-28,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY
2022-02-28,Inception,2010,https://boxd.it/1skk
2022-02-28,Avengers: Infinity War,2018,https://boxd.it/9vEe
2022-02-28,Avengers: Endgame,2019,https://boxd.it/9vE4
2022-02-28,Black Panther,2018,https://boxd.it/8MHs
2022-02-28,The Matrix,1999,https://boxd.it/2a1m
2022-02-28,Guardians of the Galaxy,2014,https://boxd.it/3VH2
2022-02-28,Don't Look Up,2021,https://boxd.it/o0Hc
2022-02-28,Spider-Man: Far From Home,2019,https://boxd.it/fegG
2022-02-28,Thor: Ragnarok,2017,https://boxd.it/8MHi
2022-02-28,Spider-Man: Homecoming,2017,https://boxd.it/aboM
2022-02-28,Mad Max: Fury Road,2015,https://boxd.it/2DjO
2022-02-28,Arrival,2016,https://boxd.it/aNGk
2022-02-28,Blade Runner 2049,2017,https://boxd.it/b8wK
2022-02-28,Star Wars,1977,https://boxd.it/72s
2022-02-28,The Avengers,2012,https://boxd.it/1xFW
2022-02-28,A Quiet Place,2018,https://boxd.it/fVJQ
2022-02-28,Back to the Future,1985,https://boxd.it/2b8e
2022-02-28,The Empire Strikes Back,1980,https://boxd.it/27Vw
2022-02-28,Guardians of the Galaxy Vol. 2,2017,https://boxd.it/8MxC
2022-02-28,Doctor Strange,2016,https://boxd.it/8MH8
2022-02-28,2001: A Space Odyssey,1968,https://boxd.it/2bf0
2022-02-28,WALL·E,2008,https://boxd.it/1VEo
2022-02-28,Blade Runner,1982,https://boxd.it/2bcA
2022-02-28,Ex Machina,2015,https://boxd.it/7T2k
2022-02-28,Captain Marvel,2019,https://boxd.it/9vSA
2022-02-28,Black Widow,2021,https://boxd.it/hWV8
2022-02-28,Logan,2017,https://boxd.it/7Piy
2022-02-28,The Martian,2015,https://boxd.it/8SeG
2022-02-28,Rogue One: A Star Wars Story,2016,https://boxd.it/aPvy
2022-02-28,Ant-Man,2015,https://boxd.it/3vmW
2022-02-28,Return of the Jedi,1983,https://boxd.it/27Vm
2022-02-28,Annihilation,2018,https://boxd.it/9yzm
2022-02-28,The Thing,1982,https://boxd.it/294O
2022-02-28,Ready Player One,2018,https://boxd.it/aZes
2022-02-28,E.T. the Extra-Terrestrial,1982,https://boxd.it/2a1G
2022-02-28,A Quiet Place Part II,2020,https://boxd.it/iTx0
2022-02-28,Terminator 2: Judgment Day,1991,https://boxd.it/2aGY
2022-02-28,Bird Box,2018,https://boxd.it/eh1i
2022-02-28,Akira,1988,https://boxd.it/2b1i
2022-02-28,Back to the Future Part II,1989,https://boxd.it/2aYI
2022-02-28,The Terminator,1984,https://boxd.it/2aQY
2022-02-28,10 Cloverfield Lane,2016,https://boxd.it/aZiu
2022-02-28,Godzilla vs. Kong,2021,https://boxd.it/e0qK
2022-02-28,Under the Skin,2013,https://boxd.it/3mDa
2022-02-28,The Matrix Reloaded,2003,https://boxd.it/2a1c
2022-02-28,Watchmen,2009,https://boxd.it/1QE4
2022-02-28,X-Men: First Class,2011,https://boxd.it/FOA
2022-02-28,Looper,2012,https://boxd.it/ham
2022-02-28,The Iron Giant,1999,https://boxd.it/1Wow
2022-02-28,28 Days Later,2002,https://boxd.it/2aXU
2022-02-28,Pacific Rim,2013,https://boxd.it/2cB2
2022-02-28,District 9,2009,https://boxd.it/1Iik
2022-02-28,Moon,2009,https://boxd.it/1IGQ
2022-02-28,Paprika,2006,https://boxd.it/23wW
2022-02-28,Rise of the Planet of the Apes,2011,https://boxd.it/cS4
2022-02-28,The Fly,1986,https://boxd.it/1YIe
2022-02-28,Godzilla,2014,https://boxd.it/47OE
2022-02-28,The Fifth Element,1997,https://boxd.it/71k
2022-02-28,Godzilla: King of the Monsters,2019,https://boxd.it/cY7Y
2022-02-28,Alita: Battle Angel,2019,https://boxd.it/e0rS
2022-02-28,Alien: Covenant,2017,https://boxd.it/49UY
2022-02-28,Ghost in the Shell,1995,https://boxd.it/1YYc
2022-02-28,Brazil,1985,https://boxd.it/2be2
2022-02-28,RoboCop,1987,https://boxd.it/22Wu
2022-02-28,Predator,1987,https://boxd.it/2b84
2022-02-28,Neon Genesis Evangelion: The End of Evangelion,1997,https://boxd.it/1GRM
2022-02-28,Independence Day,1996,https://boxd.it/2a1w
2022-02-28,Star Trek,2009,https://boxd.it/1Q6c
2022-02-28,Super 8,2011,https://boxd.it/dVI
2022-02-28,Close Encounters of the Third Kind,1977,https://boxd.it/29u8
2022-02-28,Total Recall,1990,https://boxd.it/29qK
2022-02-28,Dune,1984,https://boxd.it/29tY
2022-02-28,The Butterfly Effect,2004,https://boxd.it/27M0
2022-02-28,Starship Troopers,1997,https://boxd.it/2a7k
2022-02-28,TRON: Legacy,2010,https://boxd.it/1Dlo
2022-02-28,Austin Powers: International Man of Mystery,1997,https://boxd.it/29y0
2022-02-28,Dredd,2012,https://boxd.it/GZE
2022-02-28,Primer,2004,https://boxd.it/6YA
2022-02-28,The Mist,2007,https://boxd.it/22r2
2022-02-28,Chronicle,2012,https://boxd.it/2Emk
2022-02-28,Black Mirror: San Junipero,2016,https://boxd.it/k4aS
2022-02-28,Happy Death Day 2U,2019,https://boxd.it/ixt6
2022-02-28,Contact,1997,https://boxd.it/29OM
2022-02-28,Underwater,2020,https://boxd.it/fN4q
2022-02-28,The Vast of Night,2019,https://boxd.it/kJyc
2022-02-28,Terminator: Dark Fate,2019,https://boxd.it/96YI
2022-02-28,Event Horizon,1997,https://boxd.it/20d8
2022-02-28,Attack the Block,2011,https://boxd.it/hFO
2022-02-28,Austin Powers in Goldmember,2002,https://boxd.it/29xG
2022-02-28,The Predator,2018,https://boxd.it/bDw2
2022-02-28,Invasion of the Body Snatchers,1978,https://boxd.it/1SWk
2022-02-28,Shin Godzilla,2016,https://boxd.it/a9lm
2022-02-28,Galaxy Quest,1999,https://boxd.it/29gq
2022-02-28,Godzilla,1954,https://boxd.it/28kc
2022-02-28,The Abyss,1989,https://boxd.it/26mK
2022-02-28,Jumper,2008,https://boxd.it/20ss
2022-02-28,The Dead Zone,1983,https://boxd.it/1U6g
2022-02-28,Tron,1982,https://boxd.it/2b9w
2022-02-28,Star Wars: The Clone Wars,2008,https://boxd.it/1Sly
2022-02-28,Star Trek II: The Wrath of Khan,1982,https://boxd.it/2b0u
2022-02-28,Westworld,1973,https://boxd.it/26RS
2022-02-28,Planet of the Apes,2001,https://boxd.it/29ps
2022-02-28,Serenity,2005,https://boxd.it/1Km4
2022-02-28,Slither,2006,https://boxd.it/1Zks
2022-02-28,Time Bandits,1981,https://boxd.it/19KI
2022-02-28,Altered States,1980,https://boxd.it/1TBi
2022-02-28,Predators,2010,https://boxd.it/1d9m
2022-02-28,Kung Fury,2015,https://boxd.it/7mSM
2022-02-28,Cowboy Bebop: The Movie,2001,https://boxd.it/1Uc4
2022-02-28,Batman: Under the Red Hood,2010,https://boxd.it/11eE
2022-02-28,Pitch Black,2000,https://boxd.it/26iS
2022-02-28,Star Trek: The Motion Picture,1979,https://boxd.it/2b0O
2022-02-28,Star Trek IV: The Voyage Home,1986,https://boxd.it/2aYe
2022-02-28,Forbidden Planet,1956,https://boxd.it/29vK
2022-02-28,Toy Story,1995,https://boxd.it/29qA
2022-04-20,The Batman,2022,https://boxd.it/eDGs
2025-02-02,I Saw the TV Glow,2024,https://boxd.it/woVe
2025-02-19,The Substance,2024,https://boxd.it/zanS
2025-04-01,Logan Lucky,2017,https://boxd.it/dZrs
2025-04-01,Princess Mononoke,1997,https://boxd.it/2b4w
